Root Cause,Action Taken
HMD-15 signal was continuous & caused the problem.,We just cheked the sensing point of HMD & restarted the mill as well as monitored the HMD-15 signal.
It was not an electrical delay as abnormal cut was generated by due to process limitation.,We jus checked sh-2  related all HMD signal & found them ok.
,Checked all signal related to billet charging.
Billet came close because of HMD4 flickering. ,Adjust the water line to keep cool stand 1exit and stand 2 entry guide.
Specific reason not found yet. Working together with other departments under guidance of Danieli.,We along with mechanical team did ready all bypass roller & production team changed the Sh-2 pinch roll roller during shutdown & then problem was not appeared again.
Actually Backward cylinder was not reached at fully backward & caused the problem.,"Each & every time operator had to back it manually & it gets ""Rear Lower"" signal for homing."
Abnormal torque was taken by motor-1 & that's why motor was stalled.,We just reset the fault & checked the motor encoder & shear blade physical position.
Temperature controller was faulty.,Operator send back the billet to furnace to reheat. We changed the faulty controller by a new one.
,
Cutting roller motor-2 one phase was touching the terminal cover.,We repaired the cable & then ok.
QTB pump-3 motor nwas tripped by overtemperature.,Operator started the spare ready pump-1 & compensate the problem.
Motor start up over current was taken & tripped the breaker. QTB inlet  pressure dropped occurred & caused the problem.,We reset the breaker & monitored the current taken by the motor.
Temperature controller malfunctioning was occurred. ,Observe two hours physical & controller temperature.
Bar was sucked with valve stand & caused the problem.,We rectified the problem by soldering cable with this broken pin.
